image_name,Spacing (CoV),Baseline Variation,Fluency (px/stroke),Stroke Breaks,Smoothness (roughness),cluster
219.jpg,0.900917025,36.51784783,27.53731343,36.31436312,75.92102051,0
22.jpg,1.036109875,43.59741872,35.59322034,28.09523809,191.5768433,2
220.jpg,0.959998553,52.04737848,34.7,28.81844379,71.85882568,1
221.jpg,0.854705559,45.86358991,23.32432432,42.87369638,71.90551758,0
222.jpg,0.793472202,50.92270287,33.08333333,30.22670024,83.50067139,0
223.jpg,0.934919287,52.38492781,31.26785714,31.98172471,65.39978027,0
224.jpg,0.90341456,42.14397226,37.32653061,26.79059594,71.88995361,0
225.jpg,0.738509371,60.20807097,38.22580645,26.16033754,79.43847656,1
226.jpg,0.882504044,53.64482814,26.65333333,37.51875936,75.18951416,0
227.jpg,0.963198931,41.87452563,30.56896552,32.71291594,60.76171875,0
228.jpg,0.910534083,45.117204,37.64383562,26.56477437,88.96362305,0
229.jpg,0.80568725,50.65836972,29.86666667,33.48214284,69.18182373,0
23.jpg,1.030075725,65.83974362,33.34131737,29.99281609,206.6116333,1
230.jpg,0.911904417,40.96803341,25.08823529,39.85932002,69.61761475,0
231.jpg,0.813617613,45.74879938,32.49090909,30.77783994,67.70324707,0
232.jpg,1.057224625,49.06385571,27.52439024,36.33141336,86.30218506,0
233.jpg,0.916280067,59.14325481,39.03571429,25.61756632,75.68756104,1
234.jpg,0.90899562,52.60829167,32.91525424,30.38105045,71.79656982,0
235.jpg,0.936861883,46.7829069,33.1875,30.13182673,80.69915771,0
236.jpg,0.835991151,41.04478986,36.62711864,27.30217491,78.47351074,0
237.jpg,1.022144925,43.02309785,33.88709677,29.50975724,77.32177734,0
238.jpg,0.992163972,43.56210017,27.72,36.07503605,53.18206787,0
239.jpg,0.766670964,50.80412854,28.35483871,35.26734924,67.78106689,0
24.jpg,0.900180054,40.46377039,75.39622642,13.26326326,144.5425415,0
240.jpg,0.977567855,43.24510579,31.69642857,31.54929576,63.1741333,0
241.jpg,0.918985934,51.13048375,31.93650794,31.31212722,72.27905273,0
242.jpg,0.960728463,49.47738892,25.05797101,39.90746094,67.76550293,0
243.jpg,0.77652758,39.86561866,30.23333333,33.07607495,64.3258667,0
244.jpg,0.882222222,46.34361255,38.5,25.97402596,65.61767578,0
245.jpg,1.197560074,40.59107991,21.65934066,46.1694571,83.90533447,0
246.jpg,1.084291708,38.02026229,43.47457627,23.00194931,90.753479,1
247.jpg,0.801386851,37.44103498,31.03389831,32.22282904,70.17791748,0
248.jpg,0.818616104,51.94149794,36.81034483,27.16627633,67.93670654,0
249.jpg,0.817902954,56.11471997,35.13461538,28.46195948,62.55157471,0
25.jpg,1.340146162,32.52253482,33.5,29.85074626,88.66790771,2
250.jpg,0.889797328,48.50785994,22.95588235,43.56181932,62.66052246,0
251.jpg,0.974848469,39.89663239,30.06896552,33.25688071,60.32592773,0
252.jpg,0.952644394,51.63956541,37.32,26.79528402,68.77716064,1
253.jpg,0.931047969,41.72071667,33.24137931,30.08298754,69.1506958,0
254.jpg,0.955658391,40.31880165,30.17460317,33.14045238,70.73822021,0
255.jpg,1.006045921,38.82808412,25.29824561,39.5284327,58.13140869,0
256.jpg,0.838870493,52.64893177,32.92727273,30.36996133,63.08074951,0
257.jpg,1.297695336,53.29135881,43.296875,23.0963551,95.32928467,1
258.jpg,1.05306089,54.92907317,33.56944444,29.78899461,91.78070068,1
259.jpg,1.32817407,52.32629748,37,27.02702702,98.75335693,1
26.jpg,1.488245959,74.61237967,347.3636364,2.878827531,129.8501587,2
260.jpg,1.030315532,39.07701842,42.87692308,23.32256906,99.609375,1
261.jpg,0.82320356,60.76978524,33.34444444,29.99000332,104.0762329,1
262.jpg,1.00875008,53.17262708,27.79661017,35.97560973,66.16241455,0
263.jpg,0.851763944,41.848535,34.93333333,28.62595418,79.9520874,0
264.jpg,0.861185177,49.09690392,26.140625,38.25463237,66.25579834,0
265.jpg,0.986132343,53.81553634,39.10344828,25.57319223,79.67193604,1
266.jpg,1.01331505,56.02570782,30.23529412,33.07392995,75.703125,1
267.jpg,0.942452358,52.19812959,33.13461538,30.17991873,58.39599609,0
